epoch,loss,accuracy_train,accuracy_test,model
1,0.6933689117431641,0.5008888888888889,0.5213333333333333,cnn_2d
2,0.6907749772071838,0.5106666666666667,0.528,cnn_2d
3,0.6914047598838806,0.5382222222222223,0.5546666666666666,cnn_2d
4,0.6891982555389404,0.5746666666666667,0.58,cnn_2d
5,0.68649822473526,0.5866666666666667,0.6,cnn_2d
6,0.6861146688461304,0.6137777777777778,0.6146666666666667,cnn_2d
7,0.6847177743911743,0.6297777777777778,0.612,cnn_2d
8,0.6834988594055176,0.6444444444444445,0.6186666666666667,cnn_2d
9,0.6844615340232849,0.6377777777777778,0.6146666666666667,cnn_2d
10,0.679980456829071,0.6417777777777778,0.624,cnn_2d
11,0.6753530502319336,0.6417777777777778,0.616,cnn_2d
12,0.6746952533721924,0.6471111111111111,0.6173333333333333,cnn_2d
13,0.6678358316421509,0.6448888888888888,0.632,cnn_2d
14,0.6718443036079407,0.6466666666666666,0.6346666666666667,cnn_2d
15,0.6700140833854675,0.6537777777777778,0.6493333333333333,cnn_2d
16,0.6623767614364624,0.6542222222222223,0.6453333333333333,cnn_2d
17,0.6566221117973328,0.664,0.6653333333333333,cnn_2d
18,0.6488052606582642,0.6684444444444444,0.6653333333333333,cnn_2d
19,0.6425220370292664,0.6706666666666666,0.66,cnn_2d
20,0.6480007767677307,0.6786666666666666,0.6586666666666666,cnn_2d
21,0.6453841328620911,0.6786666666666666,0.6626666666666666,cnn_2d
22,0.6435540318489075,0.6813333333333333,0.664,cnn_2d
23,0.6273545622825623,0.6813333333333333,0.668,cnn_2d
24,0.6374949812889099,0.6835555555555556,0.672,cnn_2d
25,0.6281871199607849,0.6862222222222222,0.668,cnn_2d
26,0.6267439126968384,0.6893333333333334,0.668,cnn_2d
27,0.6124611496925354,0.6951111111111111,0.672,cnn_2d
28,0.6178385615348816,0.6946666666666667,0.6706666666666666,cnn_2d
29,0.6124221086502075,0.6973333333333334,0.6706666666666666,cnn_2d
30,0.6084812879562378,0.7053333333333334,0.68,cnn_2d
31,0.613836407661438,0.712,0.6853333333333333,cnn_2d
32,0.5912688374519348,0.7057777777777777,0.6746666666666666,cnn_2d
33,0.6075667142868042,0.7173333333333334,0.684,cnn_2d
34,0.5881905555725098,0.7173333333333334,0.6933333333333334,cnn_2d
35,0.5944464206695557,0.7204444444444444,0.6866666666666666,cnn_2d
36,0.58815598487854,0.7244444444444444,0.684,cnn_2d
37,0.5898470282554626,0.7315555555555555,0.6933333333333334,cnn_2d
38,0.5926839113235474,0.7351111111111112,0.696,cnn_2d
39,0.5804394483566284,0.7337777777777778,0.692,cnn_2d
40,0.5693471431732178,0.7395555555555555,0.6946666666666667,cnn_2d
41,0.5851835608482361,0.7431111111111111,0.696,cnn_2d
42,0.5839619636535645,0.7417777777777778,0.696,cnn_2d
43,0.5745310187339783,0.7462222222222222,0.6933333333333334,cnn_2d
44,0.5720586776733398,0.7466666666666667,0.7013333333333334,cnn_2d
45,0.5859979391098022,0.744,0.7,cnn_2d
46,0.5721420645713806,0.7528888888888889,0.7,cnn_2d
47,0.567987322807312,0.7551111111111111,0.6986666666666667,cnn_2d
48,0.5625300407409668,0.752,0.7,cnn_2d
49,0.5609803199768066,0.7613333333333333,0.7013333333333334,cnn_2d
50,0.5696861147880554,0.764,0.696,cnn_2d
1,0.6937081813812256,0.5284444444444445,0.568,cnn_1d
2,0.6910990476608276,0.5315555555555556,0.5146666666666667,cnn_1d
3,0.6897659301757812,0.5608888888888889,0.5773333333333334,cnn_1d
4,0.6853113770484924,0.5693333333333334,0.592,cnn_1d
5,0.681379497051239,0.5768888888888889,0.5786666666666667,cnn_1d
6,0.682761013507843,0.5804444444444444,0.5826666666666667,cnn_1d
7,0.673585057258606,0.5862222222222222,0.588,cnn_1d
8,0.6819615364074707,0.5942222222222222,0.588,cnn_1d
9,0.685685396194458,0.592,0.5813333333333334,cnn_1d
10,0.6734227538108826,0.5937777777777777,0.596,cnn_1d
11,0.6678792834281921,0.5986666666666667,0.5906666666666667,cnn_1d
12,0.6771877408027649,0.5951111111111111,0.5906666666666667,cnn_1d
13,0.6703267693519592,0.5991111111111111,0.592,cnn_1d
14,0.6636126041412354,0.6088888888888889,0.6026666666666667,cnn_1d
15,0.6608357429504395,0.6182222222222222,0.608,cnn_1d
16,0.6623932123184204,0.6186666666666667,0.6106666666666667,cnn_1d
17,0.6659988760948181,0.6213333333333333,0.6106666666666667,cnn_1d
18,0.6569611430168152,0.6226666666666667,0.6213333333333333,cnn_1d
19,0.6517208814620972,0.6226666666666667,0.6173333333333333,cnn_1d
20,0.6536705493927002,0.6288888888888889,0.6266666666666667,cnn_1d
21,0.668440580368042,0.632,0.6213333333333333,cnn_1d
22,0.6567876935005188,0.6337777777777778,0.6253333333333333,cnn_1d
23,0.6668354868888855,0.6333333333333333,0.6253333333333333,cnn_1d
24,0.6569904685020447,0.6368888888888888,0.628,cnn_1d
25,0.6533410549163818,0.6346666666666667,0.6266666666666667,cnn_1d
26,0.6540706157684326,0.6346666666666667,0.6346666666666667,cnn_1d
27,0.62509685754776,0.6377777777777778,0.6333333333333333,cnn_1d
28,0.6426234841346741,0.6391111111111111,0.6386666666666667,cnn_1d
29,0.6347103714942932,0.6391111111111111,0.6293333333333333,cnn_1d
30,0.6439906358718872,0.6475555555555556,0.6306666666666667,cnn_1d
